Case,Observed_dataset,Emission_Compartment,Target_Compartment,RMSE,R2,Slope,Spearman_r,Pass_Spearman,MPdensity_kg_m3,FI,t_half_deg_free,t_frag_gen_FreeSurfaceWater
294,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.2900986516779403,-0.37865760666879744,-2.9097705402592915,-1.0,True,1156.8904415258141,0.46648147609084845,1919.4208088730566,21.279528880863083
194,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.2959987848765031,-0.4353071794283936,-2.883242052852283,-1.0,True,1156.8904415258141,0.46648147609084845,1919.4208088730566,21.279528880863083
258,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.30684074773805725,-0.5423788652321704,-2.6551266593680283,-1.0,True,1334.8593797107026,0.269347719848156,2665.785176551722,31.280483427534982
158,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.3144190130759856,-0.619506148330025,-2.627525348809148,-1.0,True,1334.8593797107026,0.269347719848156,2665.785176551722,31.280483427534982
276,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.3152314555637338,-0.6278864018868331,-2.743540332843732,-1.0,True,1077.5065245061498,0.4227956160902977,3492.064241550972,44.6907580137754
298,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.3163622116613844,-0.6395860205335255,-2.7087764377014776,-1.0,True,1258.8694893016498,0.13619757536798716,3464.175099021072,13.646554288555057
250,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.319248692511871,-0.6696415941188809,-2.453297967065982,-1.0,True,1223.2946596421564,0.05489066895097494,6510.335737094087,18.29832679591263
176,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.3201142397067752,-0.6787073330413065,-2.7189830646896525,-1.0,True,1077.5065245061498,0.4227956160902977,3492.064241550972,44.6907580137754
198,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.32331531167846145,-0.712448604415344,-2.681416879483269,-1.0,True,1258.8694893016498,0.13619757536798716,3464.175099021072,13.646554288555057
292,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.32332278835959727,-0.7125278062332239,-2.5514910283750254,-1.0,True,1083.052358452844,0.2536142971366644,6282.2001965457275,63.82117754182538
282,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.32449680800282776,-0.7249871292496461,-2.606455124823451,-1.0,True,1226.876803450661,0.31535704527050257,5211.275950799224,52.15384849788402
192,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.32853726265698724,-0.7682117387136393,-2.5266765922959085,-1.0,True,1083.052358452844,0.2536142971366644,6282.2001965457275,63.82117754182538
182,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.3313540713270705,-0.7986622630044979,-2.5793017285764694,-1.0,True,1226.876803450661,0.31535704527050257,5211.275950799224,52.15384849788402
296,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.33266980699916704,-0.8129748238868097,-2.6018415850289274,-1.0,True,1058.2642437735306,0.17874316032975912,4841.185813917148,34.61199762650733
286,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.33357595801117007,-0.8228649092944693,-2.7229663824931167,-1.0,True,1177.408292567193,0.2405698299407959,5824.699858462418,24.709581651058418
262,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.33616885800533053,-0.8513134588112015,-2.51951489602798,-1.0,True,1170.6894410717405,0.16353187803179026,10975.160488344927,41.971349359963845
196,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.3370597693925837,-0.8611391268129338,-2.578661817954133,-1.0,True,1058.2642437735306,0.17874316032975912,4841.185813917148,34.61199762650733
186,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.33985040511568265,-0.8920847470848519,-2.6962120673641823,-1.0,True,1177.408292567193,0.2405698299407959,5824.699858462418,24.709581651058418
162,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.3426997670039265,-0.9239448513231643,-2.492947066268985,-1.0,True,1170.6894410717405,0.16353187803179026,10975.160488344927,41.971349359963845
260,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.3464250371078989,-0.966000143053108,-2.973153149712631,-1.0,True,1095.598146211134,0.11857128143310547,5290.293207384369,4.260709514328003
