Case,Observed_dataset,Emission_Compartment,Target_Compartment,RMSE,R2,Slope,Spearman_r,Pass_Spearman,MPdensity_kg_m3,FI,t_half_deg_free,t_frag_gen_FreeSurfaceWater
108,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.30684074773805725,-0.5423788652321704,-2.6551266593680283,-1.0,True,1334.8593797107026,0.269347719848156,2665.785176551722,31.280483427534982
68,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.3144190130759856,-0.619506148330025,-2.627525348809148,-1.0,True,1334.8593797107026,0.269347719848156,2665.785176551722,31.280483427534982
100,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.319248692511871,-0.6696415941188809,-2.453297967065982,-1.0,True,1223.2946596421564,0.05489066895097494,6510.335737094087,18.29832679591263
112,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.33616885800533053,-0.8513134588112015,-2.51951489602798,-1.0,True,1170.6894410717405,0.16353187803179026,10975.160488344927,41.971349359963845
72,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.3426997670039265,-0.9239448513231643,-2.492947066268985,-1.0,True,1170.6894410717405,0.16353187803179026,10975.160488344927,41.971349359963845
110,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.3464250371078989,-0.966000143053108,-2.973153149712631,-1.0,True,1095.598146211134,0.11857128143310547,5290.293207384369,4.260709514328003
116,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.3491504836445267,-0.9970562459879917,-2.6823405098549755,-1.0,True,1249.3237197546061,0.48601853754371405,8102.0548377264295,54.21994382845937
70,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.3513090019558251,-1.0218249771225105,-2.9478500560928795,-1.0,True,1095.598146211134,0.11857128143310547,5290.293207384369,4.260709514328003
102,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.3557764094788071,-1.0735728436104477,-2.7074324025414334,-1.0,True,1112.1951702091762,0.3306289007887244,14492.228790489848,37.840555118580674
76,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.3559573777499561,-1.0756828560770653,-2.655129055084355,-1.0,True,1249.3237197546061,0.48601853754371405,8102.0548377264295,54.21994382845937
62,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.3613391149765596,-1.138922031250857,-2.6818500754033483,-1.0,True,1112.1951702091762,0.3306289007887244,14492.228790489848,37.840555118580674
114,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.3884407715814034,-1.471807337002995,-2.5208738214852833,-1.0,True,1038.8347327734473,0.4509955206885934,5968.470983069437,99.03512881364628
74,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.39159653603113914,-1.5121333192742354,-2.501247090857222,-1.0,True,1038.8347327734473,0.4509955206885934,5968.470983069437,99.03512881364628
107,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.5192117305327165,-3.4162534791919272,-2.9749366788505,-1.0,True,1302.5857566121042,0.5395782608538866,9481.499850069624,12.343861837108888
67,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.5265364863319055,-3.5417365920747566,-2.9475655431251466,-1.0,True,1302.5857566121042,0.5395782608538866,9481.499850069624,12.343861837108888
119,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.559646839664794,-4.130894820679476,-2.8406866075086907,-1.0,True,1161.6520193863762,0.5836473209783435,5394.3824984800585,25.560460500675028
79,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.566532895366279,-4.257935626660734,-2.81409309574704,-1.0,True,1161.6520193863762,0.5836473209783435,5394.3824984800585,25.560460500675028
113,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.5701371087921121,-4.325049128555903,-2.8738609984072485,-1.0,True,1121.8133512477903,0.6033657537773252,3615.677397989515,22.326527525385192
73,Sea Sediment | Bergmann,Coast_Surface_Water,Sediment_Ocean,0.5767527544731416,-4.449345643621826,-2.847864766990311,-1.0,True,1121.8133512477903,0.6033657537773252,3615.677397989515,22.326527525385192
111,Sea Sediment | Bergmann,Coast_Column_Water,Sediment_Ocean,0.6792040694915145,-6.557280803658028,-2.5650845716072266,-1.0,True,1193.8882116574719,0.6794684045016766,7014.614289040168,66.50408224922234
41,Sea Surface all | Cai,Coast_Surface_Water,Coast_Surface_Water,0.24114552244554113,0.8333425329380245,-1.488331515341178,-1.0,True,1027.5319670423107,0.7408183021470904,4154.920691366332,47.15673042962145
1,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,0.35979706222984154,0.6289934320273202,-1.7060206327008751,-1.0,True,1027.5319670423107,0.7408183021470904,4154.920691366332,47.15673042962145
3,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,0.5619657081754696,0.0949220124877419,-1.8264915447311467,-1.0,True,1142.0435862712225,0.9025733647868037,3158.382174470359,79.69456262139977
57,Sea Surface all | Cai,Coast_Surface_Water,Coast_Surface_Water,0.604571389694798,-0.047518144421008435,-1.9258182076859434,-1.0,True,1052.6719218786097,0.8115330813452601,3073.41552049488,14.554328791386125
106,Sea Surface all | Cai,Impacted_Soil_Surface,Ocean_Surface_Water,0.6201026452652441,-0.1020303116439456,-2.718895971479288,-1.0,True,938.1999105069605,0.2247749101370573,1827.0909576901595,58.014555128786775
45,Sea Surface all | Cai,Coast_Surface_Water,Coast_Surface_Water,0.6349721018899098,-0.15551519609187303,-1.9757676773725823,-1.0,True,1067.1475829275753,0.8145831767469645,7649.971821573374,27.484250670786114
6,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,0.6552707222895381,-0.2305744678478303,-0.9263486790200608,-1.0,True,938.1999105069605,0.2247749101370573,1827.0909576901595,58.014555128786775
26,Sea Surface all | Cai,Surface_Freshwater,Ocean_Surface_Water,0.6807158328723396,-0.32800000351509273,-1.2603508776700956,-1.0,True,938.1999105069605,0.2247749101370573,1827.0909576901595,58.014555128786775
109,Sea Surface all | Cai,Impacted_Soil_Surface,Ocean_Surface_Water,0.6992454624836855,-0.40128245953429054,-2.5241262729080054,-1.0,True,1011.0546938224201,0.9662006385624409,8317.906190875348,110.33241362955947
66,Sea Surface all | Cai,Coast_Surface_Water,Ocean_Surface_Water,0.7236109583770282,-0.5006404284005488,-0.7612382149157464,-1.0,True,938.1999105069605,0.2247749101370573,1827.0909576901595,58.014555128786775
89,Sea Surface all | Cai,Impacted_Soil_Surface,Coast_Surface_Water,0.8121074232016209,-0.8901372130618397,-2.6249755816724143,-1.0,True,1011.0546938224201,0.9662006385624409,8317.906190875348,110.33241362955947
5,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,0.822953687669584,-0.9409625833115782,-2.3180486369263673,-1.0,True,1067.1475829275753,0.8145831767469645,7649.971821573374,27.484250670786114
86,Sea Surface all | Cai,Impacted_Soil_Surface,Coast_Surface_Water,0.836740757639491,-1.006541840364784,-2.8755767165161026,-1.0,True,938.1999105069605,0.2247749101370573,1827.0909576901595,58.014555128786775
17,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,0.8485280624185342,-1.0634730053516366,-2.302898871042703,-1.0,True,1052.6719218786097,0.8115330813452601,3073.41552049488,14.554328791386125
61,Sea Surface all | Cai,Coast_Surface_Water,Ocean_Surface_Water,0.9153971711800549,-1.401516108706086,-2.6423714426934697,-1.0,True,1027.5319670423107,0.7408183021470904,4154.920691366332,47.15673042962145
15,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,0.9510076621108741,-1.5919964600666452,-2.255539294221458,-1.0,True,1266.8602077145417,0.7534087570384145,4509.321025122595,33.63773384602314
11,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,1.0022094771281238,-1.8786136639238444,-2.2519097268643424,-1.0,True,1193.8882116574719,0.6794684045016766,7014.614289040168,66.50408224922234
